[2022-02-09 22:45:50,301] INFO [setUpClass testcase_04_addReceiveAddr.py 14] addReceiveAddr接口用例页开始
[2022-02-09 22:45:51,142] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:45:51,143] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:45:51,248] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_bypass_ui
[2022-02-09 22:45:51,248] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:45:51,248] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu"}
[2022-02-09 22:45:51,249] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:45:51,249] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:45:51,249] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:45:51,394] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_bypass_auth
[2022-02-09 22:45:51,394] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:45:51,395] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"dudu","username":"fu","phone":"15873566756","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:45:51,395] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:45:51,395] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"dudu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566756","result":"ok","username":"fu"}
[2022-02-09 22:45:51,396] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:45:51,546] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_business_logic
[2022-02-09 22:45:51,546] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:45:51,547] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":"fu","phone":"15873566752","phone":"18102948481","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:45:51,547] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:45:51,547] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"18102948481","result":"ok","username":"fu"}
[2022-02-09 22:45:51,548] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:45:51,647] INFO [tearDownClass testcase_04_addReceiveAddr.py 48] addReceiveAddr接口用例页结束
